id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
172,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0560201,77.5008689""","{""full"":""Ground Floor , Survey No. 27, Nagasandra Village, Yeshwanthpur Hobli, Bengaluru South Taluk, Bengaluru -560073""}",Yeshwanthpur Hobli,Bangalore,"13.06,77.50"
173,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0559193,77.6324513""","{""full"":""Ground Floor, Survey No. 101/2, Thanisandra Village, K R Puram Hobli, Bengaluru East Taluk, Bengaluru -560077""}",K R Puram Hobli,Bangalore,"13.06,77.63"
190,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0781944,77.53838979999999""","{""full"":""GF, Khatha no 109/P5/127/C1,singapura main road, singapura Village,Yelahanka Hobli, Bangalore-560097""}",Yelahanka Hobli,Bangalore,"13.08,77.54"
191,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8938972,77.62127149999999""","{""full"":""GF, Sy No.87/2A Situated at Tavarekere village , begur Hobli , Bengaluru - 560029""}",Begur Hobli,Bangalore,"12.89,77.62"
192,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.7681848,77.6645829""","{""full"":""GF, Sy No.69/3 at Rajapura Village, Jigani Hobli, Bengaluru District, Anekal Taluka -560105""}",Jigani Hobli,Bangalore,"12.77,77.66"
194,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8534316,77.6642098""","{""full"":""Ground Floor Sy. 42/6 , Haralagunte Village, Bengaluru South Taluk,Bengaluru-560068""}",Haralagunte Village,Bangalore,"12.85,77.66"
199,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9036442,77.68948999999999""","{""full"":""Ground Floor, Sy. 23/5 Doddakannelli Village, Varthur hobli, bengaluru east -560035""}",Doddakannelli Village,Bangalore,"12.90,77.69"
203,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9121181,77.6445548""","{""full"":""Ground Floor, and Mazzanine,Site Site No. 57 Sector V1, Hosur Sarjapur Road Layout, Bengaluru presently within the limits of BBMP Ward 174 HSR Layout Bengaluru-560102""}",HSR Layout,Bangalore,"12.91,77.64"
224,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9715987,77.5945627""","{""full"":""First Floor,Sy no 56,54/3,53, Vajrahalli Village,Uttarahalli hobli,Bangalore south -560062""}",Uttarahalli hobli,Bangalore,"12.97,77.59"
225,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0613596,77.7158771""","{""full"":""GF, Site No. 107 ,Bileshivale Village, Bidrahalli Hobli,Bengaluru East Taluk , Hoodi Bengaluru - 560077""}",Bidrahalli Hobli,Bangalore,"13.06,77.72"
