id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
118,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""30.7571666,76.6395136""","{""full"":""Lower Ground Floor ,bearing Plot No. 19, 20, 21 and 22 admeasuring 117.33 square yards, situated at Shivjot Enclave, Kharar, Punjab -140301""}",Shivjot Enclave,Kharar,"30.7571666,76.6395136"
119,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""26.8220961,75.7539006""","{""full"":""Ground Floor, 54,Ganpati Nagar,Rampura Road,,Jaipur,Rajasthan-302020""}",Ganpati Nagar,Jaipur,"26.8220961,75.7539006"
12,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0271118,77.6272142""","{""full"":""1st floor, 1425/ 497, HBR 1st stage, 4th block, Hennur Bellary Road, Bangalore - 560045""}","HBR 1st stage, 4th block",Bangalore,"13.0271118,77.6272142"
120,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""9.9700364,76.3347838""","{""full"":""Ground Floor, R&R,Survey Nos. 412/1 and 412/12, situated at Kaniyamphuza Road, Eroor, Thripunithra- 682306.""}",Eroor,Kochi,"9.9700364,76.3347838"
121,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""10.0006542,76.30240479999999""","{""full"":""Ground Floor, Door No.35.1871, situated at Sabari Lane, South Janatha Road, Palarivattom, Kochi- 682025""}",Palarivattom,Kochi,"10.0006542,76.30240479999999"
122,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""28.4382737,77.087946""","{""full"":""Lower Ground Floor,Plot no.1,Saraswati kunj ph-1,Wazirabad,Gurgaon -122002""}",Saraswati kunj ph-1,Gurugram,"28.4382737,77.087946"
123,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.287988,76.614535""","{""full"":""GF,Golden Bells ,Site Nos. 46 and 46B, I Block,Dattagalli, II Stage, Vishvamanva Double Road, Champraja Mohalla,Ramakrishnanagara, Mysore-570022""}",Ramakrishnanagara,Mysore,"12.287988,76.614535"
124,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""28.583988,77.3231849""","{""full"":""Lower Ground Floor,A-9, Sector-4, Noida Gautam buddha nagar -201301""}",Sector-4,Noida,"28.583988,77.3231849"
125,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""17.5324356,78.3646076""","{""full"":""Ground Floor, Shop Nos. 1 to 3, Sri Krishna Lake View, House No. 1-189/D, Plot Nos. 270 and 271, situated at Block No.11, Bachupally Village and Mandal, Pragathi Nagar , Medchal-Malkajgiri District, Telangana State, India - 500090""}",Pragathi Nagar,Hyderabad,"17.5324356,78.3646076"
126,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""17.7373661,83.31099379999999""","{""full"":""GF,H.No.50-94-24 and 50-94-25, Survey No. 86 and 176, situated at Ward No. 50, Block No. 94, TPT Colony, Gurudwara Junction, Santhipuram area, Resapuvanipalem Village, Visakhapatnam- 530016, Andhra Pradesh""}",TPT Colony,Visakhapatnam,"17.7373661,83.31099379999999"
127,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""17.9981089,79.5566823""","{""full"":""Ground Floor , (New), Survey No. 1060, Balasamudram, Nakkalagutta, Hanmakonda, Warangal, Telangana State, India - 506001""}",Balasamudram,Warangal,"17.9981089,79.5566823"
128,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.98967,77.713268""","{""full"":""GF,S.NO No.10/1A hoodi village, KR puram , Garuacharplaya , Bengaluru -560048""}",Hoodi Village,Bangalore,"12.98967,77.713268"
